27
-7.100368642578937E-03 5.589900205926657E-03 1.200359710869194E-04 -6.350941006222924E-06 -6.409120602827562E-06 2.053107383200874E-07 333030 Sun
-1.950942094335891E-01 -4.186826298744066E-01 -1.730522286565542E-02 2.005543774224402E-02 -1.002852245712006E-02 -2.659049302542067E-03 0.0553 Mercury
6.741465366905059E-01 -2.465349106406425E-01 -4.265163327184798E-02 6.903782911509141E-03 1.887368226708383E-02 -1.394458006455303E-04 0.8152 Venus
-9.830654993464104E-01 1.891920088353486E-01 1.164406273394658E-04 -3.472980538256070E-03 -1.698328840579539E-02 1.404560220192634E-06 1.0 Earth
-2.809881284552538E-01 1.574429407864058E+00 3.971524396024521E-02 -1.326232729135521E-02 -1.225385441132037E-03 2.998384658914319E-04 0.10745 Mars
3.423825323785560E+00 -3.731082253955772E+00 -6.112148727804124E-02 5.467725000600292E-03 5.458366773654843E-03 -1.449562757885980E-04 317.8 Jupiter
5.775633770225993E+00 -8.122855199489733E+00 -8.870556896426697E-02 4.234598998832995E-03 3.219849329024249E-03 -2.247205203375986E-04 95.11 Saturn
1.517140176610347E+01 1.266159782239096E+01 -1.495216554738859E-01 -2.548857797442379E-03 2.836374135030335E-03 4.352534447718875E-05 14.536 Uranus
2.948899647105954E+01 -5.014242387015887E+00 -5.763452720264901E-01 5.056437540085046E-04 3.113108554232673E-03 -7.617107728442792E-05 17.146 Neptune
1.425329731889788E+01 -3.110981639800135E+01 -7.939708960264972E-01 2.921170258590065E-03 6.336614566184013E-04 -9.023221214392044E-04 0.0021885 Pluto
-9.814614818869599E-01 1.871892095307447E-01 -6.519886481648246E-05 -3.000179243953481E-03 -1.663049631799294E-02 -3.057360011894269E-05 0.0123 Moon_(luna)
-2.809606848325533E-01 1.574485474314866E+00 3.970465721143800E-02 -1.421326032955117E-02 -6.741279015810808E-04 8.337875800620809E-04 1.8e-9 Phobos
-2.810897209343513E-01 1.574315619492167E+00 3.975167221447568E-02 -1.276246162037628E-02 -1.759006455366127E-03 2.741146537426810E-05 3.014e-10 Deimos
3.424435193850844E+00 -3.728343657613168E+00 -6.101280303257425E-02 -4.346282725055342E-03 7.641769384384797E-03 -2.152664229239687E-04 0.015 Io
3.423123267447501E+00 -3.735466629210671E+00 -6.130724265233603E-02 1.337636348763563E-02 4.193489043706244E-03 -1.931510394748182E-05 0.008 Europa
3.424692140429925E+00 -3.723983028718843E+00 -6.083953817801505E-02 -7.664686468473454E-04 6.231882045848488E-03 -2.008863393746717E-04 0.0248 Ganymede
3.434254405120332E+00 -3.737998768385073E+00 -6.119965914078285E-02 8.081572781967878E-03 9.438856101159148E-03 1.594786817829889E-05 0.018 Callisto
5.776865942584522E+00 -8.123044819736505E+00 -8.875245299889814E-02 5.024206752541614E-03 1.035847791988164E-02 -4.222761137670124E-03 6.27e-6 Mimas
5.772441601468605E+00 -8.129430631589379E+00 -8.499775746933715E-02 7.209417791812158E-03 2.059710977156288E-03 7.703578342196113E-05 0.02253 Titan
5.774046931368943E+00 -8.122902523968815E+00 -8.852693557890454E-02 4.781186260576837E-03 -3.220408675510618E-03 3.097227406408299E-03 1.809e-5 Enceladus
1.517028520559269E+01 1.266175938822357E+01 -1.501200142695222E-01 -3.937967131134168E-03 3.524293574770565E-03 2.819927922781258E-03 0.00022655 Ariel
1.516966974622107E+01 1.266197822253950E+01 -1.495030106058826E-01 -2.435460872587703E-03 3.182392560488115E-03 2.721537851905626E-03 0.0001962 Umbriel
1.517299032526820E+01 1.266092144306120E+01 -1.518672907750868E-01 -4.258941037970229E-03 3.041711374382531E-03 -1.170932775652352E-03 0.00059057 Titania
2.948724585059887E+01 -5.015841234110305E+00 -5.763966268879755E-01 -6.087404621822806E-04 4.270224037905659E-03 1.885316828398983E-03 0.00358 Triton
2.951581229263722E+01 -5.003580861425321E+00 -5.740894761250215E-01 8.434263865310857E-04 3.835042757210139E-03 -7.890150219550904E-06 5.19e-6 Nereid
2.948904866929476E+01 -5.014538852913002E+00 -5.764605510070391E-01 6.636181024169042E-03 5.123559716794435E-03 -2.468877420382268E-03 3.26e-8 Naiad
1.425337078276823E+01 -3.110971408418873E+01 -7.939349705663266E-01 2.982374240236092E-03 6.295028489635729E-04 -1.015665977001702E-03 0.000256 Charon
